"Timestamp","Username","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20"
"2025/07/28 11:56:29 PM AST","mingyli34@gmail.com","0.75","0.9","0.2","0.8","0.2","0.3","0.3","0.2","0.01","0.4","0.2","0.7","0.5","0.6","0.65","0.75","0.55","0.5","0.6","0.2"
"2025/07/29 04:00:00 PM AST","dummyuser23@example.com","0.51","0.52","0.53","0.54","0.55","0.56","0.57","0.58","0.59","0.60","0.61","0.62","0.63","0.64","0.65","0.66","0.67","0.68","0.69","0.70"
"2025/07/29 04:01:00 PM AST","dummyuser24@example.com","0.49","0.50","0.51","0.52","0.53","0.54","0.55","0.56","0.57","0.58","0.59","0.60","0.61","0.62","0.63","0.64","0.65","0.66","0.67","0.68"
"2025/07/29 04:02:00 PM AST","dummyuser25@example.com","0.52","0.53","0.54","0.55","0.56","0.57","0.58","0.59","0.60","0.61","0.62","0.63","0.64","0.65","0.66","0.67","0.68","0.69","0.70","0.71"
"2025/07/29 04:03:00 PM AST","dummyuser26@example.com","0.48","0.49","0.50","0.51","0.52","0.53","0.54","0.55","0.56","0.57","0.58","0.59","0.60","0.61","0.62","0.63","0.64","0.65","0.66","0.67"
"2025/07/29 04:04:00 PM AST","dummyuser27@example.com","0.53","0.54","0.55","0.56","0.57","0.58","0.59","0.60","0.61","0.62","0.63","0.64","0.65","0.66","0.67","0.68","0.69","0.70","0.71","0.72"
"2025/07/29 04:05:00 PM AST","dummyuser28@example.com","0.47","0.48","0.49","0.50","0.51","0.52","0.53","0.54","0.55","0.56","0.57","0.58","0.59","0.60","0.61","0.62","0.63","0.64","0.65","0.66"
"2025/07/29 04:06:00 PM AST","dummyuser29@example.com","0.54","0.55","0.56","0.57","0.58","0.59","0.60","0.61","0.62","0.63","0.64","0.65","0.66","0.67","0.68","0.69","0.70","0.71","0.72","0.73"
"2025/07/29 04:07:00 PM AST","dummyuser30@example.com","0.46","0.47","0.48","0.49","0.50","0.51","0.52","0.53","0.54","0.55","0.56","0.57","0.58","0.59","0.60","0.61","0.62","0.63","0.64","0.65"
"2025/07/29 04:08:00 PM AST","dummyuser31@example.com","0.55","0.56","0.57","0.58","0.59","0.60","0.61","0.62","0.63","0.64","0.65","0.66","0.67","0.68","0.69","0.70","0.71","0.72","0.73","0.74"
"2025/07/29 04:09:00 PM AST","dummyuser32@example.com","0.45","0.46","0.47","0.48","0.49","0.50","0.51","0.52","0.53","0.54","0.55","0.56","0.57","0.58","0.59","0.60","0.61","0.62","0.63","0.64"
